Coding,Value,Meaning
19,V646,V64.6 Passenger injured in traffic accident
19,V647,V64.7 Person on outside of vehicle injured in traffic accident
19,V649,V64.9 Unspecified occupant of heavy transport vehicle injured in traffic accident
19,V65,V65 Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle
19,V650,V65.0 Driver injured in nontraffic accident
19,V651,V65.1 Passenger injured in nontraffic accident
19,V652,V65.2 Person on outside of vehicle injured in nontraffic accident
19,V653,V65.3 Unspecified occupant of heavy transport vehicle injured in nontraffic accident
19,V654,V65.4 Person injured while boarding or alighting
19,V655,V65.5 Driver injured in traffic accident
19,V656,V65.6 Passenger injured in traffic accident
19,V657,V65.7 Person on outside of vehicle injured in traffic accident
19,V659,V65.9 Unspecified occupant of heavy transport vehicle injured in traffic accident
19,V66,V66 Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle
19,V660,V66.0 Driver injured in nontraffic accident
19,V661,V66.1 Passenger injured in nontraffic accident
19,V662,V66.2 Person on outside of vehicle injured in nontraffic accident
19,V663,V66.3 Unspecified occupant of heavy transport vehicle injured in nontraffic accident
19,V664,V66.4 Person injured while boarding or alighting
19,V665,V66.5 Driver injured in traffic accident
19,V666,V66.6 Passenger injured in traffic accident
19,V667,V66.7 Person on outside of vehicle injured in traffic accident
19,V669,V66.9 Unspecified occupant of heavy transport vehicle injured in traffic accident
19,V67,V67 Occupant of heavy transport vehicle injured in collision with fixed or stationary object
19,V670,V67.0 Driver injured in nontraffic accident
19,V671,V67.1 Passenger injured in nontraffic accident
19,V672,V67.2 Person on outside of vehicle injured in nontraffic accident
19,V673,V67.3 Unspecified occupant of heavy transport vehicle injured in nontraffic accident
19,V674,V67.4 Person injured while boarding or alighting
19,V675,V67.5 Driver injured in traffic accident
19,V676,V67.6 Passenger injured in traffic accident
19,V677,V67.7 Person on outside of vehicle injured in traffic accident
19,V679,V67.9 Unspecified occupant of heavy transport vehicle injured in traffic accident
19,V68,V68 Occupant of heavy transport vehicle injured in noncollision transport accident
19,V680,V68.0 Driver injured in nontraffic accident
19,V681,V68.1 Passenger injured in nontraffic accident
19,V682,V68.2 Person on outside of vehicle injured in nontraffic accident
19,V683,V68.3 Unspecified occupant of heavy transport vehicle injured in nontraffic accident
19,V684,V68.4 Person injured while boarding or alighting
19,V685,V68.5 Driver injured in traffic accident
19,V686,V68.6 Passenger injured in traffic accident
19,V687,V68.7 Person on outside of vehicle injured in traffic accident
19,V689,V68.9 Unspecified occupant of heavy transport vehicle injured in traffic accident
19,V69,V69 Occupant of heavy transport vehicle injured in other and unspecified transport accidents
19,V690,V69.0 Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
19,V691,V69.1 Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
19,V692,V69.2 Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
19,V693,V69.3 Occupant [any] of heavy transport vehicle injured in unspecified nontraffic accident
19,V694,V69.4 Driver injured in collision with other and unspecified motor vehicles in traffic accident
19,V695,V69.5 Passenger injured in collision with other and unspecified motor vehicles in traffic accident
19,V696,V69.6 Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in traffic accident
19,V698,V69.8 Occupant [any] of heavy transport vehicle injured in other specified transport accidents
19,V699,V69.9 Occupant [any] of heavy transport vehicle injured in unspecified traffic accident
19,V70,V70 Bus occupant injured in collision with pedestrian or animal
19,V700,V70.0 Driver injured in nontraffic accident
19,V701,V70.1 Passenger injured in nontraffic accident
19,V702,V70.2 Person on outside of vehicle injured in nontraffic accident
19,V703,V70.3 Unspecified bus occupant injured in nontraffic accident
19,V704,V70.4 Person injured while boarding or alighting
19,V705,V70.5 Driver injured in traffic accident
19,V706,V70.6 Passenger injured in traffic accident
19,V707,V70.7 Person on outside of vehicle injured in traffic accident
19,V709,V70.9 Unspecified bus occupant injured in traffic accident
19,V71,V71 Bus occupant injured in collision with pedal cycle
19,V710,V71.0 Driver injured in nontraffic accident
19,V711,V71.1 Passenger injured in nontraffic accident
19,V712,V71.2 Person on outside of vehicle injured in nontraffic accident
19,V713,V71.3 Unspecified bus occupant injured in nontraffic accident
19,V714,V71.4 Person injured while boarding or alighting
19,V715,V71.5 Driver injured in traffic accident
19,V716,V71.6 Passenger injured in traffic accident
19,V717,V71.7 Person on outside of vehicle injured in traffic accident
19,V719,V71.9 Unspecified bus occupant injured in traffic accident
19,V72,V72 Bus occupant injured in collision with two- or three-wheeled motor vehicle
19,V720,V72.0 Driver injured in nontraffic accident
19,V721,V72.1 Passenger injured in nontraffic accident
19,V722,V72.2 Person on outside of vehicle injured in nontraffic accident
19,V723,V72.3 Unspecified bus occupant injured in nontraffic accident
19,V724,V72.4 Person injured while boarding or alighting
19,V725,V72.5 Driver injured in traffic accident
19,V726,V72.6 Passenger injured in traffic accident
19,V727,V72.7 Person on outside of vehicle injured in traffic accident
19,V729,V72.9 Unspecified bus occupant injured in traffic accident
19,V73,"V73 Bus occupant injured in collision with car, pick-up truck or van"
19,V730,V73.0 Driver injured in nontraffic accident
19,V731,V73.1 Passenger injured in nontraffic accident
19,V732,V73.2 Person on outside of vehicle injured in nontraffic accident
19,V733,V73.3 Unspecified bus occupant injured in nontraffic accident
19,V734,V73.4 Person injured while boarding or alighting
19,V735,V73.5 Driver injured in traffic accident
19,V736,V73.6 Passenger injured in traffic accident
19,V737,V73.7 Person on outside of vehicle injured in traffic accident
19,V739,V73.9 Unspecified bus occupant injured in traffic accident
19,V74,V74 Bus occupant injured in collision with heavy transport vehicle or bus
19,V740,V74.0 Driver injured in nontraffic accident
19,V741,V74.1 Passenger injured in nontraffic accident
19,V742,V74.2 Person on outside of vehicle injured in nontraffic accident
19,V743,V74.3 Unspecified bus occupant injured in nontraffic accident
19,V744,V74.4 Person injured while boarding or alighting
19,V745,V74.5 Driver injured in traffic accident
19,V746,V74.6 Passenger injured in traffic accident
19,V747,V74.7 Person on outside of vehicle injured in traffic accident
19,V749,V74.9 Unspecified bus occupant injured in traffic accident
19,V75,V75 Bus occupant injured in collision with railway train or railway vehicle
19,V750,V75.0 Driver injured in nontraffic accident
19,V751,V75.1 Passenger injured in nontraffic accident
19,V752,V75.2 Person on outside of vehicle injured in nontraffic accident
19,V753,V75.3 Unspecified bus occupant injured in nontraffic accident
19,V754,V75.4 Person injured while boarding or alighting
19,V755,V75.5 Driver injured in traffic accident
19,V756,V75.6 Passenger injured in traffic accident
19,V757,V75.7 Person on outside of vehicle injured in traffic accident
19,V759,V75.9 Unspecified bus occupant injured in traffic accident
19,V76,V76 Bus occupant injured in collision with other nonmotor vehicle
19,V760,V76.0 Driver injured in nontraffic accident
19,V761,V76.1 Passenger injured in nontraffic accident
19,V762,V76.2 Person on outside of vehicle injured in nontraffic accident
19,V763,V76.3 Unspecified bus occupant injured in nontraffic accident
19,V764,V76.4 Person injured while boarding or alighting
19,V765,V76.5 Driver injured in traffic accident
19,V766,V76.6 Passenger injured in traffic accident
19,V767,V76.7 Person on outside of vehicle injured in traffic accident
19,V769,V76.9 Unspecified bus occupant injured in traffic accident
19,V77,V77 Bus occupant injured in collision with fixed or stationary object
19,V770,V77.0 Driver injured in nontraffic accident
19,V771,V77.1 Passenger injured in nontraffic accident
19,V772,V77.2 Person on outside of vehicle injured in nontraffic accident
19,V773,V77.3 Unspecified bus occupant injured in nontraffic accident
19,V774,V77.4 Person injured while boarding or alighting
19,V775,V77.5 Driver injured in traffic accident
19,V776,V77.6 Passenger injured in traffic accident
19,V777,V77.7 Person on outside of vehicle injured in traffic accident
19,V779,V77.9 Unspecified bus occupant injured in traffic accident
19,V78,V78 Bus occupant injured in noncollision transport accident
19,V780,V78.0 Driver injured in nontraffic accident
19,V781,V78.1 Passenger injured in nontraffic accident
19,V782,V78.2 Person on outside of vehicle injured in nontraffic accident
19,V783,V78.3 Unspecified bus occupant injured in nontraffic accident
19,V784,V78.4 Person injured while boarding or alighting
19,V7849,V78.49 Bus occupant injured in noncollision transport accident; person injured while boarding or alighting; during unspecified activity 
19,V785,V78.5 Driver injured in traffic accident
19,V786,V78.6 Passenger injured in traffic accident
19,V787,V78.7 Person on outside of vehicle injured in traffic accident
19,V789,V78.9 Unspecified bus occupant injured in traffic accident
19,V79,V79 Bus occupant injured in other and unspecified transport accidents
19,V790,V79.0 Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
19,V791,V79.1 Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
19,V792,V79.2 Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident
19,V793,V79.3 Bus occupant [any] injured in unspecified nontraffic accident
19,V794,V79.4 Driver injured in collision with other and unspecified motor vehicles in traffic accident
19,V795,V79.5 Passenger injured in collision with other and unspecified motor vehicles in traffic accident
19,V796,V79.6 Unspecified bus occupant injured in collision with other and unspecified motor vehicles in traffic accident
19,V798,V79.8 Bus occupant [any] injured in other specified transport accidents
19,V7989,V79.89 Bus occupant [any] injured in other specified transport accidents; during unspecified activity
19,V799,V79.9 Bus occupant [any] injured in unspecified traffic accident
19,V80,V80 Animal-rider or occupant of animal-drawn vehicle injured in transport accident
19,V800,V80.0 Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident
19,V8000,V80.00 Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident; while engaged in sports activity 
19,V8001,V80.01 Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident; while engaged in leisure activity 
19,V8009,V80.09 Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident; during unspecified activity 
19,V801,V80.1 Rider or occupant injured in collision with pedestrian or animal
19,V802,V80.2 Rider or occupant injured in collision with pedal cycle
19,V803,V80.3 Rider or occupant injured in collision with two- or three-wheeled motor vehicle
19,V804,"V80.4 Rider or occupant injured in collision with car, pick-up truck, van, heavy transport vehicle or bus"
19,V805,V80.5 Rider or occupant injured in collision with other specified motor vehicle
19,V806,V80.6 Rider or occupant injured in collision with railway train or railway vehicle
19,V807,V80.7 Rider or occupant injured in collision with other nonmotor vehicle
19,V808,V80.8 Rider or occupant injured in collision with fixed or stationary object
19,V809,V80.9 Rider or occupant injured in other and unspecified transport accidents
19,V81,V81 Occupant of railway train or railway vehicle injured in transport accident
19,V810,V81.0 Occupant of railway train or railway vehicle injured in collision with motor vehicle in nontraffic accident
19,V811,V81.1 Occupant of railway train or railway vehicle injured in collision with motor vehicle in traffic accident
19,V812,V81.2 Occupant of railway train or railway vehicle injured in collision with or hit by rolling stock
19,V813,V81.3 Occupant of railway train or railway vehicle injured in collision with other object
19,V814,V81.4 Person injured while boarding or alighting from railway train or railway vehicle
19,V815,V81.5 Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle
19,V816,V81.6 Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle
19,V817,V81.7 Occupant of railway train or railway vehicle injured in derailment without antecedent collision
19,V818,V81.8 Occupant of railway train or railway vehicle injured in other specified railway accidents
19,V819,V81.9 Occupant of railway train or railway vehicle injured in unspecified railway accident
19,V82,V82 Occupant of streetcar injured in transport accident
19,V820,V82.0 Occupant of streetcar injured in collision with motor vehicle in nontraffic accident
19,V821,V82.1 Occupant of streetcar injured in collision with motor vehicle in traffic accident
19,V822,V82.2 Occupant of streetcar injured in collision with or hit by rolling stock
19,V823,V82.3 Occupant of streetcar injured in collision with other object
19,V824,V82.4 Person injured while boarding or alighting from streetcar
19,V825,V82.5 Occupant of streetcar injured by fall in streetcar
19,V826,V82.6 Occupant of streetcar injured by fall from streetcar
19,V827,V82.7 Occupant of streetcar injured in derailment without antecedent collision
19,V828,V82.8 Occupant of streetcar injured in other specified transport accidents
19,V829,V82.9 Occupant of streetcar injured in unspecified traffic accident
19,V83,V83 Occupant of special vehicle mainly used on industrial premises injured in transport accident
19,V830,V83.0 Driver of special industrial vehicle injured in traffic accident
19,V831,V83.1 Passenger of special industrial vehicle injured in traffic accident
19,V832,V83.2 Person on outside of special industrial vehicle injured in traffic accident
19,V833,V83.3 Unspecified occupant of special industrial vehicle injured in traffic accident
19,V834,V83.4 Person injured while boarding or alighting from special industrial vehicle
19,V835,V83.5 Driver of special industrial vehicle injured in nontraffic accident
19,V836,V83.6 Passenger of special industrial vehicle injured in nontraffic accident
19,V837,V83.7 Person on outside of special industrial vehicle injured in nontraffic accident
19,V8372,V83.72 Person on outside of special industrial vehicle injured in nontraffic accident; while working for income
19,V839,V83.9 Unspecified occupant of special industrial vehicle injured in nontraffic accident
19,V84,V84 Occupant of special vehicle mainly used in agriculture injured in transport accident
19,V840,V84.0 Driver of special agricultural vehicle injured in traffic accident
19,V841,V84.1 Passenger of special agricultural vehicle injured in traffic accident
19,V842,V84.2 Person on outside of special agricultural vehicle injured in traffic accident
19,V843,V84.3 Unspecified occupant of special agricultural vehicle injured in traffic accident
19,V844,V84.4 Person injured while boarding or alighting from special agricultural vehicle
19,V845,V84.5 Driver of special agricultural vehicle injured in nontraffic accident
19,V846,V84.6 Passenger of special agricultural vehicle injured in nontraffic accident
19,V847,V84.7 Person on outside of special agricultural vehicle injured in nontraffic accident
19,V849,V84.9 Unspecified occupant of special agricultural vehicle injured in nontraffic accident
19,V85,V85 Occupant of special construction vehicle injured in transport accident
19,V850,V85.0 Driver of special construction vehicle injured in traffic accident
19,V851,V85.1 Passenger of special construction vehicle injured in traffic accident
19,V852,V85.2 Person on outside of special construction vehicle injured in traffic accident
19,V853,V85.3 Unspecified occupant of special construction vehicle injured in traffic accident
19,V854,V85.4 Person injured while boarding or alighting from special construction vehicle
19,V8542,V85.42 Person injured while boarding or alighting from special construction vehicle; while working for income
19,V855,V85.5 Driver of special construction vehicle injured in nontraffic accident
19,V856,V85.6 Passenger of special construction vehicle injured in nontraffic accident
19,V857,V85.7 Person on outside of special construction vehicle injured in nontraffic accident
19,V859,V85.9 Unspecified occupant of special construction vehicle injured in nontraffic accident
19,V86,"V86 Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident"
19,V860,V86.0 Driver of all-terrain or other off-road motor vehicle injured in traffic accident
19,V861,V86.1 Passenger of all-terrain or other off-road motor vehicle injured in traffic accident
19,V862,V86.2 Person on outside of all-terrain or other off-road motor vehicle injured in traffic accident
19,V863,V86.3 Unspecified occupant of all-terrain or other off-road motor vehicles injured in traffic accident
19,V864,V86.4 Person injured while boarding or alighting from all-terrain or other off-road motor vehicle
19,V865,V86.5 Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident
19,V866,V86.6 Passenger of all-terrain or other off-road motor vehicle injured in nontraffic accident
19,V867,V86.7 Person on outside of all-terrain or other off-road motor vehicle injured in nontraffic accident
19,V869,V86.9 Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident
19,V87,V87 Traffic accident of specified type but victim's mode of transport unknown
19,V870,V87.0 Person injured in collision between car and two- or three-wheeled motor vehicle (traffic)
19,V871,V87.1 Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic)
19,V872,V87.2 Person injured in collision between car and pick-up truck or van (traffic)
19,V873,V87.3 Person injured in collision between car and bus (traffic)
19,V874,V87.4 Person injured in collision between car and heavy transport vehicle (traffic)
19,V875,V87.5 Person injured in collision between heavy transport vehicle and bus (traffic)
19,V876,V87.6 Person injured in collision between railway train or railway vehicle and car (traffic)
19,V877,V87.7 Person injured in collision between other specified motor vehicles (traffic)
19,V878,V87.8 Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)
19,V879,V87.9 Person injured in other specified (collision) (noncollision) transport accidents involving nonmotor vehicle (traffic)
19,V88,V88 Nontraffic accident of specified type but victim's mode of transport unknown
19,V880,"V88.0 Person injured in collision between car and two- or three-wheeled motor vehicle, nontraffic"
19,V881,"V88.1 Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle, nontraffic"
19,V882,"V88.2 Person injured in collision between car and pick-up truck or van, nontraffic"
19,V883,"V88.3 Person injured in collision between car and bus, nontraffic"
19,V884,"V88.4 Person injured in collision between car and heavy transport vehicle, nontraffic"
19,V885,"V88.5 Person injured in collision between heavy transport vehicle and bus, nontraffic"
19,V886,"V88.6 Person injured in collision between railway train or railway vehicle and car, nontraffic"
19,V887,"V88.7 Person injured in collision between other specified motor vehicles, nontraffic"
19,V888,"V88.8 Person injured in other specified noncollision transport accidents involving motor vehicle, nontraffic"
19,V889,"V88.9 Person injured in other specified (collision) (noncollision) transport accidents involving nonmotor vehicle, nontraffic"
19,V89,"V89 Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
19,V890,"V89.0 Person injured in unspecified motor-vehicle accident, nontraffic"
19,V891,"V89.1 Person injured in unspecified nonmotor-vehicle accident, nontraffic"
19,V892,"V89.2 Person injured in unspecified motor-vehicle accident, traffic"
19,V893,"V89.3 Person injured in unspecified nonmotor-vehicle accident, traffic"
19,V899,V89.9 Person injured in unspecified vehicle accident
19,V90,V90 Accident to watercraft causing drowning and submersion
19,V900,V90.0 Merchant ship
19,V901,V90.1 Passenger ship
19,V902,V90.2 Fishing boat
19,V903,V90.3 Other powered watercraft
19,V904,V90.4 Sailboat
19,V905,V90.5 Canoe or kayak
19,V906,V90.6 Inflatable craft (nonpowered)
19,V907,V90.7 Water-skis
19,V908,V90.8 Other unpowered watercraft
19,V909,V90.9 Unspecified watercraft
19,V91,V91 Accident to watercraft causing other injury
19,V910,V91.0 Merchant ship
19,V911,V91.1 Passenger ship
19,V912,V91.2 Fishing boat
19,V913,V91.3 Other powered watercraft
19,V914,V91.4 Sailboat
19,V915,V91.5 Canoe or kayak
19,V916,V91.6 Inflatable craft (nonpowered)
19,V917,V91.7 Water-skis
19,V918,V91.8 Other unpowered watercraft
19,V919,V91.9 Unspecified watercraft
19,V92,V92 Water-transport-related drowning and submersion without accident to watercraft
19,V920,V92.0 Merchant ship
19,V921,V92.1 Passenger ship
19,V922,V92.2 Fishing boat
19,V923,V92.3 Other powered watercraft
19,V924,V92.4 Sailboat
19,V925,V92.5 Canoe or kayak
19,V926,V92.6 Inflatable craft (nonpowered)
19,V927,V92.7 Water-skis
19,V928,V92.8 Other unpowered watercraft
19,V929,V92.9 Unspecified watercraft
19,V93,"V93 Accident on board watercraft without accident to watercraft, not causing drowning and submersion"
19,V930,V93.0 Merchant ship
19,V931,V93.1 Passenger ship
19,V932,V93.2 Fishing boat
19,V933,V93.3 Other powered watercraft
19,V9331,"V93.31 Accident on board watercraft without accident to watercraft, not causing drowning and submersion; other powered watercraft; while engaged in leisure activity  "
19,V934,V93.4 Sailboat
19,V935,V93.5 Canoe or kayak
19,V936,V93.6 Inflatable craft (nonpowered)
19,V937,V93.7 Water-skis
19,V938,V93.8 Other unpowered watercraft
19,V939,V93.9 Unspecified watercraft
19,V94,V94 Other and unspecified water transport accidents
19,V940,V94.0 Merchant ship
19,V941,V94.1 Passenger ship
19,V942,V94.2 Fishing boat
19,V943,V94.3 Other powered watercraft
19,V944,V94.4 Sailboat
19,V945,V94.5 Canoe or kayak
19,V946,V94.6 Inflatable craft (nonpowered)
19,V947,V94.7 Water-skis
19,V948,V94.8 Other unpowered watercraft
19,V949,V94.9 Unspecified watercraft
19,V95,V95 Accident to powered aircraft causing injury to occupant
19,V950,V95.0 Helicopter accident injuring occupant
19,V951,"V95.1 Ultralight, microlight or powered-glider accident injuring occupant"
19,V952,"V95.2 Accident to other private fixed-wing aircraft, injuring occupant"
19,V953,"V95.3 Accident to commercial fixed-wing aircraft, injuring occupant"
19,V954,V95.4 Spacecraft accident injuring occupant
19,V958,V95.8 Other aircraft accidents injuring occupant
19,V959,V95.9 Unspecified aircraft accident injuring occupant
19,V96,V96 Accident to nonpowered aircraft causing injury to occupant
19,V960,V96.0 Balloon accident injuring occupant
19,V961,V96.1 Hang-glider accident injuring occupant
19,V962,V96.2 Glider (nonpowered) accident injuring occupant
19,V968,V96.8 Other nonpowered-aircraft accidents injuring occupant
19,V969,V96.9 Unspecified nonpowered-aircraft accident injuring occupant
19,V97,V97 Other specified air transport accidents
19,V970,V97.0 Occupant of aircraft injured in other specified air transport accidents
19,V971,V97.1 Person injured while boarding or alighting from aircraft
19,V972,V97.2 Parachutist injured in air transport accident
19,V973,V97.3 Person on ground injured in air transport accident
19,V978,"V97.8 Other air transport accidents, not elsewhere classified"
19,V98,V98 Other specified transport accidents
19,V99,V99 Unspecified transport accident
19,W00,W00 Fall on same level involving ice and snow
19,W000,W00.0 Home
19,W0008,W00.08 Fall on same level involving ice and snow; Home; While engaged in other specified activities
19,W001,W00.1 Residential institution
19,W002,"W00.2 School, other institution and public administrative area"
19,W003,W00.3 Sports and athletics area
19,W004,W00.4 Street and highway
19,W0042,W00.42 Fall on same level involving ice and snow; Street and highway; While working for income
19,W005,W00.5 Trade and service area
19,W006,W00.6 Industrial and construction area
19,W007,W00.7 Farm
19,W008,W00.8 Other specified place
19,W0089,"W00.89 Fall on same level involving ice and snow, Other specified places , During unspecified activity"
19,W009,W00.9 Unspecified place
19,W0099,W00.99 Fall on same level involving ice and snow; Unspecified place; During unspecified activity
19,W01,"W01 Fall on same level from slipping, tripping and stumbling"
19,W010,W01.0 Home
19,W0103,"W01.03 Fall on same level from slipping, tripping and stumbling; Home; While engaged in other types of work"
19,W0104,"W01.04 Fall on same level from slipping, tripping and stumbling; Home; While resting, sleeping, eating or engaging in other vital activities"
19,W0108,"W01.08 Fall on same level from slipping, tripping and stumbling; Home; While engaged in other specified activities"
19,W0109,"W01.09 Fall on same level from slipping, tripping and stumbling; Home; During unspecified activity"
19,W011,W01.1 Residential institution
19,W012,"W01.2 School, other institution and public administrative area"
19,W0120,"W01.20 Fall on same level from slipping, tripping and stumbling; School, other institution and public administrative area; While engaged in sports activity"
19,W0122,"W01.22 Fall on same level from slipping, tripping and stumbling; School, other institution and public administrative area; While working for income"
19,W0124,"W01.24 Fall on same level from slipping, tripping and stumbling; School, other institution and public administrative area; While resting, sleeping, eating or engaging in other vital activities"
19,W0129,"W01.29 Fall on same level from slipping, tripping and stumbling; School, other institution and public administrative area; During unspecified activity"
19,W013,W01.3 Sports and athletics area
19,W0130,"W01.30 Fall on same level from slipping, tripping and stumbling, Home "
19,W0131,"W01.31 Fall on same level from slipping, tripping and stumbling; Sports and athletics area; While engaged in leisure activity"
19,W014,W01.4 Street and highway
19,W0148,"W01.48 Fall on same level from slipping, tripping and stumbling; Street and highway; While engaged in other specified activities"
19,W0149,"W01.49 Fall on same level from slipping, tripping and stumbling; Street and highway; During unspecified activity"
19,W015,W01.5 Trade and service area
19,W0153,"W01.53 Fall on same level from slipping, tripping and stumbling; Trade and service area; While engaged in other types of work"
19,W016,W01.6 Industrial and construction area
19,W017,W01.7 Farm
19,W018,W01.8 Other specified place
19,W0181,"W01.81 Fall on same level from slipping, tripping and stumbling; Other specified places; While engaged in leisure activity"
19,W0188,"W01.88 Fall on same level from slipping, tripping and stumbling; Other specified places; While engaged in other specified activities"
19,W0189,"W01.89 Fall on same level from slipping, tripping and stumbling; Other specified places; During unspecified activity"
19,W019,W01.9 Unspecified place
19,W0190,"W01.90 Fall on same level from slipping, tripping and stumbling; Unspecified place; While engaged in sports activity"
19,W02,"W02 Fall involving ice-skates, skis, roller-skates or skateboards"
19,W020,W02.0 Home
19,W021,W02.1 Residential institution
19,W022,"W02.2 School, other institution and public administrative area"
19,W023,W02.3 Sports and athletics area
19,W0230,"W02.30 Fall involving ice-skates, skis, roller-skates or skateboards; Sports and athletics area; While engaged in sports activity"
19,W0231,"W02.31 Fall involving ice-skates, skis, roller-skates or skateboards; Sports and athletics area; While engaged in leisure activity"
19,W024,W02.4 Street and highway
19,W025,W02.5 Trade and service area
19,W026,W02.6 Industrial and construction area
19,W027,W02.7 Farm
19,W028,W02.8 Other specified place
19,W0281,"W02.81 Fall involving ice-skates, skis, roller-skates or skateboards; Other specified places; While engaged in leisure activity"
19,W029,W02.9 Unspecified place
19,W03,"W03 Other fall on same level due to collision with, or pushing by, another person"
19,W030,W03.0 Home
19,W031,W03.1 Residential institution
19,W032,"W03.2 School, other institution and public administrative area"
19,W033,W03.3 Sports and athletics area
19,W0330,"W03.30 Other fall on same level due to collision with, or pushing by, another person; Sports and athletics area; While engaged in sports activity"
19,W034,W03.4 Street and highway
19,W035,W03.5 Trade and service area
19,W036,W03.6 Industrial and construction area
19,W037,W03.7 Farm
19,W038,W03.8 Other specified place
19,W0389,"W03.89 Other fall on same level due to collision with, or pushing by, another person, Other specified places , During unspecified activity"
19,W039,W03.9 Unspecified place
19,W04,W04 Fall while being carried or supported by other persons
19,W040,W04.0 Home
19,W041,W04.1 Residential institution
19,W042,"W04.2 School, other institution and public administrative area"
19,W043,W04.3 Sports and athletics area
19,W044,W04.4 Street and highway
19,W045,W04.5 Trade and service area
19,W046,W04.6 Industrial and construction area
19,W047,W04.7 Farm
19,W048,W04.8 Other specified place
19,W049,W04.9 Unspecified place
19,W05,W05 Fall involving wheelchair
19,W050,W05.0 Home
19,W051,W05.1 Residential institution
19,W052,"W05.2 School, other institution and public administrative area"
19,W053,W05.3 Sports and athletics area
19,W054,W05.4 Street and highway
19,W055,W05.5 Trade and service area
19,W056,W05.6 Industrial and construction area
19,W057,W05.7 Farm
19,W058,W05.8 Other specified place
19,W059,W05.9 Unspecified place
19,W06,W06 Fall involving bed
19,W060,W06.0 Home
19,W061,W06.1 Residential institution
19,W062,"W06.2 School, other institution and public administrative area"
19,W0628,"W06.28 Fall involving bed; School, other institution and public administrative area; While engaged in other specified activities"
19,W063,W06.3 Sports and athletics area
19,W064,W06.4 Street and highway
19,W065,W06.5 Trade and service area
19,W066,W06.6 Industrial and construction area
19,W067,W06.7 Farm
19,W068,W06.8 Other specified place
19,W069,W06.9 Unspecified place
19,W07,W07 Fall involving chair
19,W070,W07.0 Home
19,W071,W07.1 Residential institution
19,W072,"W07.2 School, other institution and public administrative area"
19,W0729,"W07.29 Fall involving chair; School, other institution and public administrative area; During unspecified activity"
19,W073,W07.3 Sports and athletics area
19,W074,W07.4 Street and highway
19,W075,W07.5 Trade and service area
19,W076,W07.6 Industrial and construction area
19,W077,W07.7 Farm
19,W078,W07.8 Other specified place
19,W079,W07.9 Unspecified place
19,W08,W08 Fall involving other furniture
19,W080,W08.0 Home
19,W081,W08.1 Residential institution
19,W082,"W08.2 School, other institution and public administrative area"
19,W083,W08.3 Sports and athletics area
19,W084,W08.4 Street and highway
19,W085,W08.5 Trade and service area
19,W086,W08.6 Industrial and construction area
19,W087,W08.7 Farm
19,W088,W08.8 Other specified place
19,W089,W08.9 Unspecified place
19,W09,W09 Fall involving playground equipment
19,W090,W09.0 Home
19,W091,W09.1 Residential institution
19,W092,"W09.2 School, other institution and public administrative area"
19,W093,W09.3 Sports and athletics area
19,W094,W09.4 Street and highway
19,W095,W09.5 Trade and service area
19,W096,W09.6 Industrial and construction area
19,W097,W09.7 Farm
19,W098,W09.8 Other specified place
19,W099,W09.9 Unspecified place
19,W10,W10 Fall on and from stairs and steps
19,W100,W10.0 Home
19,W1003,W10.03 Fall on and from stairs and steps; Home; While engaged in other types of work
19,W1004,"W10.04 Fall on and from stairs and steps; Home; While resting, sleeping, eating or engaging in other vital activities"
19,W1008,W10.08 Fall on and from stairs and steps; Home; While engaged in other specified activities
19,W101,W10.1 Residential institution
19,W102,"W10.2 School, other institution and public administrative area"
19,W1029,"W10.29 Fall on and from stairs and steps; School, other institution and public administrative area; During unspecified activity"
19,W103,W10.3 Sports and athletics area
19,W104,W10.4 Street and highway
19,W105,W10.5 Trade and service area
19,W1059,W10.59 Fall on and from stairs and steps; Trade and service area; During unspecified activity
19,W106,W10.6 Industrial and construction area
19,W107,W10.7 Farm
19,W108,W10.8 Other specified place
19,W109,W10.9 Unspecified place
